Input files:
						 Ashburn Turner County Banner_04-22-1910_1_1.txt,
							Montgomery Monitor_04-28-1910_3_1.txt,
							The Atlanta Constitution_04-16-1910_1_1.txt,
							The Eastman Times-Journal_04-21-1910_1_1.txt
Event ID,Missing words,Input file name,Summary file name
100,court,"The Atlanta Constitution_04-16-1910_1_1.txt",100.txt
100,sister,"The Eastman Times-Journal_04-21-1910_1_1.txt",100.txt
100,albert,"The Atlanta Constitution_04-16-1910_1_1.txt",100.txt
100,judge,"Ashburn Turner County Banner_04-22-1910_1_1.txt",100.txt
100,who,"The Eastman Times-Journal_04-21-1910_1_1.txt",100.txt
100,citizen,"Montgomery Monitor_04-28-1910_3_1.txt",100.txt
100,convict,"Montgomery Monitor_04-28-1910_3_1.txt",100.txt
100,defendant,"The Atlanta Constitution_04-16-1910_1_1.txt",100.txt
100,paul,"The Eastman Times-Journal_04-21-1910_1_1.txt",100.txt
100,witness,"Montgomery Monitor_04-28-1910_3_1.txt",100.txt
100,sheriff,"The Eastman Times-Journal_04-21-1910_1_1.txt",100.txt
100,baptist,"The Eastman Times-Journal_04-21-1910_1_1.txt",100.txt
100,daughter,"Montgomery Monitor_04-28-1910_3_1.txt",100.txt
100,deputy,"The Eastman Times-Journal_04-21-1910_1_1.txt",100.txt
100,stepson,"The Eastman Times-Journal_04-21-1910_1_1.txt",100.txt
100,mother,"The Eastman Times-Journal_04-21-1910_1_1.txt",100.txt
100,witness,"Ashburn Turner County Banner_04-22-1910_1_1.txt",100.txt
100,farmer,"The Atlanta Constitution_04-16-1910_1_1.txt",100.txt
100,minister,"The Eastman Times-Journal_04-21-1910_1_1.txt",100.txt
100,rebecca,"Ashburn Turner County Banner_04-22-1910_1_1.txt",100.txt
100,baldwin,"The Atlanta Constitution_04-16-1910_1_1.txt",100.txt
100,lord,"The Eastman Times-Journal_04-21-1910_1_1.txt",100.txt
100,community,"The Atlanta Constitution_04-16-1910_1_1.txt",100.txt
100,woman,"Montgomery Monitor_04-28-1910_3_1.txt",100.txt
100,wife,"Montgomery Monitor_04-28-1910_3_1.txt",100.txt
100,smith,"Ashburn Turner County Banner_04-22-1910_1_1.txt",100.txt
100,albert,"Montgomery Monitor_04-28-1910_3_1.txt",100.txt
100,jackson,"Ashburn Turner County Banner_04-22-1910_1_1.txt",100.txt
100,jackson,"The Atlanta Constitution_04-16-1910_1_1.txt",100.txt
100,people,"The Atlanta Constitution_04-16-1910_1_1.txt",100.txt
100,lawyer,"The Atlanta Constitution_04-16-1910_1_1.txt",100.txt
100,court,"Ashburn Turner County Banner_04-22-1910_1_1.txt",100.txt
100,who,"Montgomery Monitor_04-28-1910_3_1.txt",100.txt
100,brother,"The Atlanta Constitution_04-16-1910_1_1.txt",100.txt
